date,h0,h1,h2,h3,h4,h5
2023-10-25,2.4208245e-25,8.4012014e-10,1.5120569e-23,1.4721073e-13,0.039063826,6.3527726e-13
2021-03-12,5.2148352e-09,0.99999964,6.106746e-09,0.9999918,0.9999999,0.9999651
2023-08-27,1.5814663e-20,3.607302e-09,9.5254554e-14,6.8670946e-14,7.296817e-15,4.245022e-12
2019-06-17,2.0002953e-22,1.2746348e-09,4.936086e-15,1.1966387e-21,1.0541875e-08,0.9995154
2024-12-17,1.0,0.99993896,1.1759317e-05,0.9977296,1.0,0.9997806
2024-10-06,1.0796855e-26,1.7689812e-08,1.483846e-24,1.3345522e-10,4.2694515e-10,1.907651e-14
2021-10-19,1.2491048e-23,8.6529625e-15,8.282951e-25,2.7130801e-16,0.0035651806,4.154514e-09
2022-03-23,1.2146085e-26,1.0,3.0657794e-12,1.4732043e-07,3.8542933e-07,0.99883884
2021-05-08,7.55845e-09,0.9999999,0.9999995,0.000109511726,1.0,1.0
2019-11-08,1.96598e-08,0.0001476176,5.958221e-13,4.041445e-12,1.0,6.392208e-06
2020-03-30,3.9124066e-06,1.0,0.9977658,0.9999883,0.99999833,1.0
2023-07-27,1.5749386e-22,1.3591297e-08,9.478552e-14,6.566766e-14,1.7405848e-13,2.0642073e-12
2022-01-14,0.9999994,0.998114,0.9998996,0.9999814,1.0,1.0
2020-06-21,9.8457033e-26,1.8827023e-14,2.4068407e-15,1.2288373e-18,0.011593996,1.0
2022-06-08,7.340802e-19,3.9039285e-13,2.473235e-07,2.0829201e-14,0.0030325253,1.0
2020-02-17,0.00014225065,1.0,0.9923855,0.9997645,1.0,1.0
2024-11-15,7.1553474e-10,0.9999231,4.1379833e-14,2.9668869e-05,0.9988927,1.1752821e-06
2022-04-24,1.4936544e-08,0.91614294,1.0,4.0122115e-05,0.9999993,1.0
2020-06-20,4.4796665e-25,1.0726629e-16,4.575163e-13,7.9816987e-17,0.52903336,1.0
2022-07-08,1.2334793e-30,1.6010464e-11,1.03320255e-19,3.0603762e-15,1.5755745e-12,2.0383648e-09
2022-09-01,1.0252885e-24,5.1857182e-15,7.729461e-17,5.0805593e-19,1.8552142e-11,3.462721e-10
2023-12-31,0.9999999,0.5686459,0.012076719,0.9991247,1.0,0.99999964
2019-05-08,1.3714224e-07,0.9999938,0.99998724,9.334206e-09,0.99998796,1.0
2021-08-26,1.4337492e-33,3.4757364e-10,1.6180389e-18,6.6197433e-15,4.5289044e-09,1.5232732e-06
2020-05-17,2.7506373e-16,0.16379625,0.99996686,1.4553995e-05,0.9999839,1.0
2024-01-13,0.9999999,0.9989838,0.89095986,0.9999503,1.0,1.0
2020-02-08,0.10460668,0.99999976,0.99826896,0.99997675,0.99999976,1.0
2021-06-19,4.7214666e-24,1.2915206e-13,2.0606024e-06,3.4444044e-16,5.3064145e-08,1.0
2022-11-03,2.7042442e-17,1.4235146e-14,6.7808756e-19,3.165225e-14,0.9999907,0.99051595
2023-12-16,0.99999976,0.16737211,5.893961e-06,0.99624604,1.0,0.9998733
2022-08-16,4.3134e-24,2.274652e-11,3.615024e-16,4.8508175e-15,1.2300734e-10,1.2493238e-12
2023-03-13,2.3476704e-16,0.23245339,0.43966115,1.0,0.9793347,1.0
2022-04-25,1.5595134e-08,0.9987954,1.0,5.5808915e-08,0.99999833,1.0
2021-12-05,0.99945766,3.624578e-06,0.0073684477,0.9997855,1.0,1.0
2024-06-20,1.0916747e-27,5.72934e-14,4.1859075e-17,1.15846516e-20,5.74185e-07,0.99999976
2023-01-03,8.12859e-13,2.5068154e-09,1.0026185e-11,1.0,1.0,0.99999464
2019-04-04,3.9817928e-24,1.0,2.7284054e-07,1.22004685e-05,1.4959154e-08,0.9470454
2022-01-12,0.99992967,0.99796534,0.97356105,0.9999937,1.0,1.0
2020-03-22,0.0071231346,0.9999999,0.5603976,0.22085962,1.0,1.0
2020-03-25,5.9803895e-09,1.0,0.99999535,0.9692039,0.99998724,1.0
2024-10-02,2.5312133e-24,8.003119e-09,7.778797e-25,3.8261897e-11,9.245438e-08,2.659658e-14
